,user,job_name,node_id,count,mean_core
176,a07smr01,SWAN_MAR,59,3,16.007477000599636
177,a07smr01,SWAN_MAR,60,7,13.079176554089912
178,a07smr01,SWAN_MAR,61,3,16.007477000599636
179,a07smr01,SWAN_MAR,62,11,14.307017898037737
180,a07smr01,SWAN_MAR,63,4,16.45574024994643
181,a07smr01,SWAN_MED_ITA,34,2,12.220691544067813
182,a07smr01,SWAN_MED_ITA,35,2,12.220691544067813
183,a07smr01,SWAN_MED_ITA,36,9,13.439764724470429
184,a07smr01,SWAN_MED_ITA,37,39,17.567570456604887
185,a07smr01,SWAN_MED_ITA,38,22,18.36070617203648
186,a07smr01,SWAN_MED_ITA,40,33,18.435152317738005
187,a07smr01,SWAN_MED_ITA,42,31,20.234766020763907
188,a07smr01,SWAN_MED_ITA,46,16,17.488470338919306
189,a07smr01,SWAN_MED_ITA,47,14,17.647764623662685
190,a07smr01,SWAN_MED_ITA,48,13,17.973481292685396
191,a07smr01,SWAN_MED_ITA,49,9,18.892756048896743
192,a07smr01,SWAN_MED_ITA,50,8,18.470247681125418
193,a07smr01,SWAN_MED_ITA,56,2,17.843135458717384
194,a07smr01,SWAN_SIC,40,4,12.675447095852931
195,a07smr01,SWAN_SIC,42,9,11.212127014879389
196,a07smr01,SWAN_SIC,46,5,10.041470950100555
197,a07smr01,SWAN_SIC,47,2,13.396101982955063
198,a07smr01,SWAN_SIC,48,1,3.741191122679688
199,a07smr01,SWAN_SIC,49,4,23.586774980298742
200,a07smr01,SWAN_SIC,51,3,23.76536235932151
201,a07smr01,SWAN_SIC,54,8,14.905081055704336
202,a07smr01,SWAN_SIC,56,2,24.377472468798654
203,a07smr01,SWAN_SIC,57,3,24.111302995204465
204,a07smr01,SWAN_SIC,58,4,24.048058267340476
205,a07smr01,SWAN_SIC,59,10,23.565478984977737
206,a07smr01,SWAN_SIC,60,2,23.2475837577313
207,a07smr01,SWAN_SIC,61,5,23.309270662593793
208,a07smr01,SWAN_SIC,62,13,23.579865729813417
209,a07smr01,SWAN_SIC,63,21,20.27518585396234
210,a07smr01,SWAN_SNE,36,3,24.07850278906547
211,a07smr01,SWAN_SNE,37,20,21.547770230482058
212,a07smr01,SWAN_SNE,38,10,22.813554813127908
213,a07smr01,SWAN_SNE,40,6,21.187983948447844
214,a07smr01,SWAN_SNE,42,3,7.7521845188093055
215,a07smr01,SWAN_SNE,46,6,12.32782245847948
216,a07smr01,SWAN_SNE,47,8,14.335517691282528
217,a07smr01,SWAN_SNE,48,8,11.468848966791121
218,a07smr01,SWAN_SNE,49,2,22.791780973708914
219,a07smr01,SWAN_SNE,50,2,11.325106075743294
220,a07smr01,SWAN_SUD,37,3,23.05333813661373
221,a07smr01,SWAN_SUD,38,2,23.15966848675562
222,a07smr01,SWAN_SUD,40,11,21.58491090440649
223,a07smr01,SWAN_SUD,42,11,21.631465074457534
224,a07smr01,SWAN_SUD,46,3,16.597967850787338
225,a07smr01,SWAN_SUD,47,4,6.781086404090585
226,a07smr01,SWAN_SUD,48,4,17.294709364348236
227,a07smr01,SWAN_SUD,49,7,9.91781703811125
228,a07smr01,SWAN_SUD,50,8,14.835924738492459
229,a07smr01,SWAN_SUD,54,2,23.42126736097184
230,a07smr01,SWAN_SUD,56,10,21.772584899933054
231,a07smr01,SWAN_SUD,57,10,21.725520035602337
232,a07smr01,SWAN_SUD,58,3,23.580163183391466
233,a07smr01,SWAN_SUD,59,1,23.13116099854871
234,a07smr01,SWAN_SUD,60,5,23.865838809637943
235,a07smr01,SWAN_SUD,62,4,21.660772839559545
236,a07smr01,SWAN_SUD,63,6,22.247604346696974
237,a07smr01,SWAN_TOS,40,9,23.278565944429296
238,a07smr01,SWAN_TOS,42,16,21.39255191724143
239,a07smr01,SWAN_TOS,46,7,18.967676739428462
240,a07smr01,SWAN_TOS,47,7,14.565736075037305
